age_group,sex,year,rate_per_1000,prob,age_min,age_max
0-4,F,2002,28.11,0.02811,0,4
5-9,F,2002,8.8,0.0088,5,9
10-14,F,2002,6.14,0.00614,10,14
15-19,F,2002,4.94,0.004940000000000001,15,19
20-29,F,2002,4.61,0.00461,20,29
30-39,F,2002,4.86,0.004860000000000001,30,39
40-49,F,2002,4.75,0.00475,40,49
50-59,F,2002,4.68,0.00468,50,59
60-69,F,2002,5.19,0.00519,60,69
70+,F,2002,5.05,0.00505,70,Inf
0-4,M,2002,42.33,0.04233,0,4
5-9,M,2002,11.25,0.01125,5,9
10-14,M,2002,5.57,0.00557,10,14
15-19,M,2002,2.82,0.00282,15,19
20-29,M,2002,2.94,0.00294,20,29
30-39,M,2002,3.14,0.00314,30,39
40-49,M,2002,2.98,0.00298,40,49
50-59,M,2002,3.16,0.00316,50,59
60-69,M,2002,4.2,0.004200000000000001,60,69
70+,M,2002,4.84,0.00484,70,Inf
0-4,F,2003,28.64,0.028640000000000002,0,4
5-9,F,2003,8.95,0.00895,5,9
10-14,F,2003,5.7,0.0057,10,14
15-19,F,2003,4.82,0.0048200000000000005,15,19
20-29,F,2003,4.23,0.00423,20,29
30-39,F,2003,4.46,0.0044599999999999996,30,39
40-49,F,2003,4.37,0.00437,40,49
50-59,F,2003,4.27,0.0042699999999999995,50,59
60-69,F,2003,4.87,0.00487,60,69
70+,F,2003,4.83,0.00483,70,Inf
0-4,M,2003,42.67,0.04267,0,4
5-9,M,2003,11.24,0.01124,5,9
10-14,M,2003,5.03,0.005030000000000001,10,14
15-19,M,2003,2.49,0.00249,15,19
20-29,M,2003,2.66,0.00266,20,29
30-39,M,2003,3.08,0.0030800000000000003,30,39
40-49,M,2003,2.91,0.0029100000000000003,40,49
50-59,M,2003,2.97,0.00297,50,59
60-69,M,2003,3.95,0.00395,60,69
70+,M,2003,4.6,0.0046,70,Inf
0-4,F,2004,29.13,0.02913,0,4
5-9,F,2004,9.25,0.00925,5,9
10-14,F,2004,5.81,0.005809999999999999,10,14
15-19,F,2004,4.29,0.00429,15,19
20-29,F,2004,4.11,0.00411,20,29
30-39,F,2004,4.46,0.0044599999999999996,30,39
40-49,F,2004,4.27,0.0042699999999999995,40,49
50-59,F,2004,4.3,0.0043,50,59
60-69,F,2004,4.5,0.0045,60,69
70+,F,2004,4.58,0.00458,70,Inf
0-4,M,2004,41.9,0.0419,0,4
5-9,M,2004,11.51,0.01151,5,9
10-14,M,2004,5.24,0.00524,10,14
15-19,M,2004,2.22,0.00222,15,19
20-29,M,2004,2.49,0.00249,20,29
30-39,M,2004,3.05,0.0030499999999999998,30,39
40-49,M,2004,2.81,0.00281,40,49
50-59,M,2004,2.91,0.0029100000000000003,50,59
60-69,M,2004,3.71,0.0037099999999999998,60,69
70+,M,2004,4.51,0.00451,70,Inf
0-4,F,2005,29.26,0.02926,0,4
5-9,F,2005,10.17,0.01017,5,9
10-14,F,2005,5.74,0.00574,10,14
15-19,F,2005,4.23,0.00423,15,19
20-29,F,2005,4.02,0.004019999999999999,20,29
30-39,F,2005,4.34,0.00434,30,39
40-49,F,2005,4.16,0.0041600000000000005,40,49
50-59,F,2005,4.04,0.00404,50,59
60-69,F,2005,4.49,0.00449,60,69
70+,F,2005,4.42,0.00442,70,Inf
0-4,M,2005,43.43,0.043429999999999996,0,4
5-9,M,2005,12.79,0.01279,5,9
10-14,M,2005,5.6,0.0056,10,14
15-19,M,2005,2.27,0.00227,15,19
20-29,M,2005,2.39,0.00239,20,29
30-39,M,2005,2.9,0.0029,30,39
40-49,M,2005,2.76,0.00276,40,49
50-59,M,2005,2.8,0.0028,50,59
60-69,M,2005,3.52,0.00352,60,69
70+,M,2005,4.14,0.00414,70,Inf
0-4,F,2006,28.11,0.02811,0,4
5-9,F,2006,9.4,0.0094,5,9
10-14,F,2006,5.37,0.00537,10,14
15-19,F,2006,3.99,0.0039900000000000005,15,19
20-29,F,2006,3.66,0.00366,20,29
30-39,F,2006,4.12,0.00412,30,39
40-49,F,2006,3.91,0.00391,40,49
50-59,F,2006,3.87,0.00387,50,59
60-69,F,2006,4.4,0.0044,60,69
70+,F,2006,4.11,0.00411,70,Inf
0-4,M,2006,40.51,0.04051,0,4
5-9,M,2006,11.57,0.01157,5,9
10-14,M,2006,5.06,0.005059999999999999,10,14
15-19,M,2006,2.07,0.00207,15,19
20-29,M,2006,2.35,0.00235,20,29
30-39,M,2006,2.91,0.0029100000000000003,30,39
40-49,M,2006,2.68,0.00268,40,49
50-59,M,2006,2.81,0.00281,50,59
60-69,M,2006,3.54,0.00354,60,69
70+,M,2006,4.08,0.00408,70,Inf
0-4,F,2007,25.42,0.02542,0,4
5-9,F,2007,8.5,0.0085,5,9
10-14,F,2007,5.06,0.005059999999999999,10,14
